종목코드,종목명,예측확률,SHAP_Feature_1,SHAP_Value_1,SHAP_Impact_1,SHAP_Feature_2,SHAP_Value_2,SHAP_Impact_2,SHAP_Feature_3,SHAP_Value_3,SHAP_Impact_3
267260,HD현대일렉트릭,0.7867658820871725,tail_up,0.0016420361247947,-0.10101726291817613,num_up_days,4.0,0.06920930503983982,std_close,461.1432111876849,-0.06828401559760096
000660,SK하이닉스,0.7779709749304351,volume_price,1233419382000.0,0.2822973940521479,return_1d,-0.0227670753064798,0.16912541294004768,tail_up,0.0158730158730158,0.08574232002836651
034730,SK,0.7720260980649534,num_up_days,2.0,0.2630020931456238,저가,994000.0,-0.22575030360370874,close_7,1009000.0,-0.2159829107671976
096770,SK이노베이션,0.7476462428502453,tail_up,0.0016501650165016,-0.24539455026970244,volume_price,88552337500.0,-0.09885299610905349,close_3,297000.0,-0.07403500078711658
012450,한화솔루션,0.7362281137347518,return_1d,-0.0381679389312977,0.33353461731225253,num_up_days,1.0,-0.3062840598891489,std_close,13207.140925596706,0.2651894998853095
086790,하나금융지주,0.7343544248124344,num_up_days,2.0,-0.2715321907633916,volume_price,740051743200.0,0.12639387251110748,거래량,12013827.0,-0.10198097293032334
035420,NAVER,0.7277995958626524,거래량,1373370.0,0.15962859540246427,tail_up,0.0,-0.08559124764171429,num_up_days,4.0,0.08077868987224064
402340,SK스퀘어,0.7210679460655524,std_close,25987.43809565518,0.35490154317580164,num_up_days,2.0,0.19215238951379432,return_3d,-0.0797752808988764,-0.1824948106869124
024110,기업은행,0.719943844804894,num_up_days,3.0,0.08189704515156336,tail_up,0.0206422018348623,0.07949877866893075,close_vs_open,-0.0069767441860465,-0.06357582512777299
010140,삼성중공업,0.7114269734143502,mean_close,428928.5714285714,0.37135060416534543,std_close,16336.699639218468,0.3509820516803302,return_1d,-0.0309155766944114,0.20083202766254543
