종목코드,수익률_3d_mean,수익률_3d_std,거래량_mean,종가_mean,종가_std,시가_mean,고가_mean,저가_mean,클러스터
270,0.0017510273667205257,0.0327992632676682,1331810.07,89817.875,15961.804941974207,89778.0,91024.3125,88650.5,0
660,0.004313275303255675,0.045565003697470595,3680611.48,141019.125,47652.49780881014,141026.0,143185.625,138922.8125,3
810,0.003628028821784894,0.03715317281459444,92657.285,277514.875,72698.12454854288,276987.125,281568.75,273018.25,0
3550,0.0007953261766202947,0.03100257335070037,224877.2025,79931.0,6712.479849665493,79896.875,80898.5,78936.875,0
5380,0.0012214684625026547,0.03292478819738948,752306.3,202402.875,29682.709331797378,202505.0,205113.8125,199959.125,0
5490,0.0004764306475505743,0.045018965103935264,617426.07625,347568.75,94108.15628725926,347717.5,353842.5,342295.9375,1
5930,-0.00011705800830393241,0.02887493084246834,17007413.42125,65582.75,8491.998880931513,65638.0,66236.375,65023.375,2
5935,-0.0005021734538690853,0.027775094568171222,1265347.38625,55519.0,6207.285194580528,55538.4375,56000.25,55048.5,0
6400,-0.00322186484296387,0.04441971492780139,337595.9,478497.125,178160.86016393203,478927.375,486648.5,471375.8125,1
6800,0.0043767567860793334,0.03819621515731239,923997.54125,7911.1625,2227.7744493867463,7901.4125,8029.15,7792.2125,0
9540,0.006189704823326709,0.04432335346456396,252517.45,136332.625,64818.96111678823,136163.875,138788.5,133668.625,3
10130,0.0034203577657213506,0.0696512796897724,60895.25125,611185.625,193616.77561773994,611474.375,626101.25,597865.625,1
10140,0.004816847191171832,0.04154491704944485,6662640.77625,8466.7375,3148.740740980611,8465.75625,8616.9625,8322.15625,3
11200,-3.4806009280853455e-05,0.0476958359540193,2456340.56625,19849.55,3564.8554375125655,19885.425,20248.9,19526.85,0
12330,0.0017277443906571273,0.031277425779348285,202572.5225,228284.5,19275.660133753892,228170.0,231275.0,225210.8125,0
12450,0.012335736139808809,0.06159871076362836,704216.4175,226818.3125,222368.6785313234,219885.0625,225695.0625,214556.625,3
15760,0.0027223699117080516,0.03900901592355293,1792151.88625,20774.1375,2798.60912282721,20767.375,21050.44375,20506.5125,0
17670,0.0001500623894760259,0.020106678282822695,630649.245,52116.875,3814.6959401464255,52095.875,52534.9375,51677.625,0
18260,0.0016321234896436746,0.033187504638357984,148853.3675,137579.25,15503.54134319725,137526.25,139431.125,135717.75,0
24110,0.0023144586175817476,0.023745103812382776,1071250.4425,12228.2,2114.649365124575,12214.1,12321.9125,12116.4875,0
28260,0.0018857388505724483,0.03293648928666948,303254.02375,123550.5,16602.325025288083,123531.375,125063.875,121993.0,0
30200,0.0019049106730707412,0.02421554426715468,768941.2925,37685.3125,5916.4007978114505,37673.5,38072.1875,37311.90625,0
32830,0.003265430876835157,0.037099866781707916,282764.6375,78105.0,14990.455035712657,77978.375,79167.5625,76942.75,0
33780,0.0018830681839043892,0.02265590008448306,291305.44,93455.75,11569.320568231873,93302.375,94291.5,92494.875,0
34020,0.005464137927557817,0.05333986681416582,6542903.5175,19476.7125,7064.0659398002545,19485.3125,19880.075,19093.84375,3
34730,6.646172299694116e-05,0.03851187574541957,167452.8975,174764.75,34070.1633026882,174777.25,177256.5,172525.875,0
35420,-0.00010656652976150086,0.040317608162425765,832881.385,206484.75,34376.28657644658,206657.625,209490.25,203866.25,0
35720,-0.00084412356462,0.045797965325763745,2057282.51375,53523.125,14873.168935270533,53568.0625,54411.40625,52766.40625,0
42660,0.00639594388227161,0.06586159051093987,1939334.525,33757.3125,17635.73676278656,33742.5625,34600.0,32907.3125,3
51910,-0.002376598894692341,0.044827231268592185,273725.42,478080.375,168428.41570346695,478777.75,487078.75,470639.0625,1
55550,0.0020575371757330725,0.03177254711815827,1410130.11875,42826.6875,7741.694061122142,42767.125,43379.0,42271.0,0
64350,0.010318938087665165,0.059315271182951754,2476095.71375,43716.625,32480.609867751897,43666.625,44738.5,42648.125,3
66570,-0.0012458464507769749,0.033829595033411826,703658.7425,97788.75,13561.329599753171,98000.5,99179.375,96713.875,0
68270,0.0005430075997220423,0.03808710026644549,554816.56,173013.875,16496.414294934282,173065.0,175609.0625,170799.25,0
79550,0.009089405919701627,0.060458686395542416,287695.0075,151255.875,97329.01577702572,151100.0,154990.125,147597.4375,3
86790,0.0026097621959109,0.035776365574159155,1104962.79375,50418.75,10593.911264606324,50331.6875,51100.0625,49718.625,0
96770,-0.0016457896933892541,0.048141920724595486,504398.77125,146929.125,36941.730177673395,147256.0,149838.125,144566.3125,0
105560,0.0029223906726261483,0.03782620394929123,1335104.485,65272.0,17508.16947879255,65177.0625,66171.8125,64340.25,0
138040,0.005277732250333113,0.04596608804987197,404118.8025,64663.375,30645.674026361972,64588.4375,65709.9375,63640.8125,3
207940,0.0011281846533998856,0.028813287200018266,68197.4375,855835.0,114139.46533488586,856053.75,866295.0,846105.0,1
259960,0.001977507976174119,0.04589768085873455,158023.48625,248148.625,67417.98260540438,248126.25,252713.5,243839.5,0
267260,0.013843329653902793,0.061006942165083414,373758.7875,158336.875,140105.75049989307,158068.25,162532.875,153887.9375,3
272210,0.006563748422429259,0.06186623378486925,2061970.2025,18928.6625,9457.563519255089,18941.225,19398.31875,18516.38125,3
316140,0.0019183455639734655,0.02902123545293009,2436933.55125,13917.175,2196.5046232765117,13901.2125,14054.1125,13758.40625,0
323410,-0.0002930386479758135,0.05360873284664147,1720947.71375,26029.5375,5958.53371780143,26052.875,26504.34375,25608.5625,0
329180,0.00609469575381966,0.049528008826838756,235828.7075,166985.0,84621.69115106702,166875.875,170440.0,163346.875,3
352820,0.0013816116663078215,0.0500792132793634,263184.78125,211955.0,44414.01418268526,211919.5,216350.5,207866.375,0
373220,-0.00044043880869214247,0.04210200584216552,317617.6175,434563.75,84368.74668803383,435050.625,441678.75,428026.875,1
377300,0.0009999763854934575,0.07692726522282103,581926.57625,48905.5,23490.77990778175,48690.4375,49815.1875,47690.625,3
402340,0.005881312659207349,0.05189072667187915,408042.2025,62329.875,25803.103038052766,62149.875,63537.75,61034.875,3
